Species.name,BodyMass.g,LitSz,MaxLifepsan.m,HabitatBreadth,AdultHeadBodyLen.mm,DietBreadth,GestLen.d,WeanAge.d
Mellivora capensis,8999.99,2.35,318,1,682.96,6,181.46,23.86
Melogale everetti,1500,2,126,1,NA,6,68.5,75
Melogale moschata,938.5,2,126,1,383.82,6,NA,NA
Melogale orientalis,2000,3,120,2,NA,NA,NA,NA
Melogale personata,1845.26,2.5,108,1,398.22,6,NA,NA
Melursus ursinus,99999.99,1.54,480,1,1595.23,6,203.36,194.67
Mephitis macroura,1097.76,4.68,105.6,1,307.05,1,58.2,NA
Mephitis mephitis,2399.99,5.7,155,1,399.55,6,63.29,55.15
Mirounga angustirostris,488000,1,243.5,2,3713.91,6,290.63,27.37
Mirounga leonina,566000,1,276,2,3674.03,2,243.33,22.93
Monachus monachus,275000,1,284.4,2,2589.02,6,334.58,42.75
Monachus schauinslandi,272200,1,360,2,2232.83,6,344.15,37.13
Mungos gambianus,1644.98,NA,NA,1,349.68,6,NA,NA
Mungos mungo,1260,2.68,144,1,362.42,1,60.91,20.88
Mungotictis decemlineata,657.03,0.99,136.8,2,311.18,2,100.83,45.1
Mustela africana,536.98,NA,NA,1,309.07,NA,NA,NA
Mustela altaica,180.24,5.44,120,1,243.52,1,40,56
Mustela erminea,284.5,6.74,85.23,1,215.65,1,66.35,60.93
Mustela eversmanii,1684.21,7.82,109.2,1,432.95,1,40.14,48.8
Mustela felipei,211.3,NA,NA,1,214.8,NA,NA,NA
Mustela frenata,190.03,6.5,85.23,2,229.31,1,24.5,34.23
Mustela itatsi,400,7,60,3,NA,NA,27.8,NA
Mustela kathiah,263.74,10.5,106,1,259.13,1,30,49
Mustela lutreola,566.44,4.5,120,3,360.77,2,43.74,58.71
Mustela lutreolina,466.25,4.5,120,1,308.08,1,30,NA
Mustela nigripes,907.1,3.36,144,1,395.94,1,43,59.66
Mustela nivalis,78.45,5.07,120,1,188.18,1,36.49,36.74
Mustela nudipes,569.42,4,NA,1,325.9,NA,NA,NA
Mustela putorius,975.55,8.48,168,1,358.92,1,41.49,54.39
Mustela sibirica,530.85,6.48,106,1,305.96,1,30.12,58.2
Mustela strigidorsa,1500,NA,NA,1,286.46,NA,NA,NA
Mustela subpalmata,78.3,6.5,NA,NA,NA,NA,NA,NA
Mydaus javanensis,2500,2.5,NA,1,441.18,6,NA,NA
Mydaus marchei,2500,NA,174,1,389.59,NA,NA,NA
Nandinia binotata,2167.2,1.84,222,2,498.51,2,65.35,63.81
Nasua narica,4578.43,4,212,1,549.58,6,76.82,132.63
Nasua nasua,3775.5,3.69,212.4,2,527.63,6,75.06,113.15
Nasuella olivacea,1339.99,4.5,204,1,387.34,6,75.5,135
Neofelis nebulosa,14945.05,2.25,204,2,836.74,1,93.44,111.67
Neophoca cinerea,80000,1.35,192,2,1798.13,6,265.94,542.19
Neovison macrodon,9.5,5,96,2,NA,NA,59,NA
Neovison vison,1150,4.5,120,2,NA,NA,57.5,NA
Nyctereutes procyonoides,4214.99,6.36,168,1,447.38,6,61.84,49.69
Odobenus rosmarus,743000,1.22,480,2,2870.18,6,357.39,591.36
Ommatophoca rossii,164000,0.96,252,2,2061.84,1,349.79,27.84
Otaria flavescens,139000,1,297.6,2,2112.38,6,311.55,363.96
Otocolobus manul,3050,4.83,180,1,573.28,1,76.08,NA
Otocyon megalotis,4098.12,4,165.6,1,537.63,1,67.54,42.46
Pagophilus groenlandicus,139000,1,504,2,1721.36,6,242.9,11.45
Paguma larvata,4300,2.16,216,1,633.11,6,NA,109.13
Panthera leo,158623.93,2.75,360,1,1835.16,1,108.74,197.86
Panthera onca,83943.09,1.96,276,1,1331.62,1,102.49,156.6
Panthera pardus,52399.99,2.14,276,1,1377.71,1,96.74,123.54
Panthera tigris,161914.66,2.6,315.6,1,1824.79,1,105.19,118.55
Panthera uncia,32500,2.12,216,1,1146.57,1,100.95,101.42
Paracynictis selousi,1669.72,2,NA,1,427.91,1,NA,NA
Paradoxurus hermaphroditus,3200,3.29,269,1,532.26,6,61.27,NA
Paradoxurus jerdoni,3530.33,3,144,1,589.08,6,NA,NA
Paradoxurus zeylonensis,2821.3,2.5,NA,1,487.39,6,NA,NA
Pardofelis badia,3429.52,NA,NA,1,548.4,NA,NA,NA
Pardofelis marmorata,2826.68,2,160.8,1,516.47,1,80.99999962,NA
Pardofelis temminckii,7726.46,1.5,216,1,887.35,1,99.07,NA
Phoca largha,71300,1,426.13,2,1634.87,6,287.4,27.84
Phoca vitulina,85200,1,480,2,1611.75,1,288.95,30.74
Phocarctos hookeri,112000,1,276,2,2018.97,7,365,252.01
Poecilogale albinucha,308.16,2.23,62.4,1,304.09,1,32.55,76.56
