Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Babyrousa celebensis,1.9,5308.833,151.8067,518.679,20.437,812.5316,1299.9547,5222.1956,3.01,422.3963,122.0336,1.34,2.4014665,1.327495,362.0425,1.3055,1.0292,227.5866,193.7848,188.258,125.9347,203.106,720.682,5.3475,5.25,188.3818,910.1763,259.9142,3434.289,1.1017,84164.3421,64612.0526,47657.62,1.55,-4.31,-1.37,125.29,119.82,122.55,17,45.21,17,0.07,231.15,206.52,1808.07,1884.79,0,0,0
Balaenoptera musculus,2.38,154321304.5,136.8406,30480,8.6703,3105.3464,61185.6704,344181.2339,1,1408.7967,326.97,1,53486.1815,68658.4113,821.25,1,0.45,1320,2738612.79,7236.55,8.054641,1,1959.8,1.25,2.75,211.71,16999999.97,7869.7509,402273.4422,0.6717,1345526.602,3309634.439,1124823.715,15.5181,2.2348,8.5449,43.0935,22.1562,33.4829,36.91,234.0069,40.525,0.1097978,116.6864,216.9711,1068.5454,1492.7619,0,0,1
Balaenoptera physalus,2.34,47506008.23,144.0494,20641.06,10.3022,3216.7384,54531.2045,351537.7539,2,1643.0202,338.36,1,54282.5872,66123.0792,730,1.01,0.37,1392,1899999.99,6273.75,6.9263115,1.5,2666.41,6.671,2.51,196.58,8191923.017,12000,473271.5803,0.6345,1479965.135,6395530.42,868943.356,12.7246,2.2066,7.7928,38.9503,25.2619,38.8093,36.7,227.4423,37.105,0.1178489,122.7705,218.7184,1085.9199,1502.4436,0,0,0
Balantiopteryx infusca,1,64.1986,38.99,97.7342,10.452,368.9453,66.3463,57.3435,1.67,132.3438,95.4739,1,0.05255477,0.022057033,193.8771,1.2353,1.81,85.8056,6.2664,33.908,1047.8451,1806.291,267.8584,1.5883,7.1,50.4248,20.1391,88.0843,9.05,2.0773,24585.6135,216256.1354,68801.56,1.43,-2.73,-0.64,-78.29,-80.97,-79.63,0,83.28,9,0.11,121.57,242.2,1124.51,1461.07,0,0,0
Balantiopteryx io,1,3.97,37,40.2,11.2031,534.7245,48.4356,111.005,1.56,331.925,132.2888,1,3.71250317,6.461613309,290.1653,1,1.1988,189.5706,0.59,25.02,1736.1858,21543.9095,387.1569,12.6193,6.89,67.5334,197.8876,109.2264,446.0436,1.8965,17852.2602,335618.0085,211758.21,18.8,15,16.9,-88.21,-96.39,-92.3,3,40.29,4,0.13,144.32,239.45,1366.65,1623.94,0,0,0
Balantiopteryx plicata,1,6.57,42.23,63.2473,10.2425,365,25.6381,18.9167,1,146.2994,138.81,1,0.133095252,0.361246993,282.6169,0.99,1,116.573,2,28.222,1603.173,112.5,320.8958,4.0002,6.83,58.59,9.5165,71.3309,33.4587,1.9676,6.1731,238747.685,841946.43,27.13,9.36,18.24,-71.82,-110.03,-90.93,3,88.19,8,0.09,106.96,216.78,1061.85,1571.82,0,0,0
Balionycteris maculata,1.12,14.43,40.96,82.2123,11.6389,377.3949,49.7737,34.236,1,143.4077,97.5369,1,0.05680466,0.027811812,196.2952,1,1.839,81.2792,6.0241,36.4583,1233.6115,2124.9092,321.7517,1.3183,5.03,64.6289,27.4827,88.4436,10.9785,2.0845,4534.1048,22381.7209,870187.37,7.09,-5.94,0.57,119.26,95.18,107.22,1,90.03,4,0.14,244.15,249.46,1690.56,1755.34,0,0,0
Bandicota bengalensis,1.41,226.99,73.1613,167.4018,14.6963,91.25,138.6313,179.4925,3.06,144.1372,18.89,1.58,0.0458926,0.024037518,61.9,7.29,5.9,66.4996,4.85,47,3025.189,487.2645,63.52,2.19,9.77,30.03,22.9,179.3653,262.9379,3.3169,78270.2041,167826.6428,3698085.54,34.2,5.91,20.06,97.54,66.5,82.02,0,320.61,24,0.09,107.29,236.14,810.44,1418.33,0,0,0
Bandicota indica,1.27,583.09,74.8042,221.0489,15.7008,272.5,222.0419,395.6695,3.23,125.1812,20.26,1.77,0.08540717,0.125871634,71.25,6.12,3.21,67.3116,9.77,57.6298,2066.489,82.208,145.81,1.845,8.98,27.3,41,236.1332,427.7034,2.51,78271.2963,167871.8775,6308602.34,34.13,5.91,20.02,122,62.27,92.13,1,264.57,11,0.09,111.99,228.78,864.32,1417.41,0,0,0
Cephalophus niger,1.57,19094.32,113.6764,1041.8,4.5736,720.4933,5555.8408,25285.0858,7,336.136,126,1,21.1061155,34.4476,327.3481,1,1.3407,122.04,1940,379.0819,1.14,179.6445,556.8355,3.3745,4,89.49,6034.1134,318.3991,25031.0531,1.162,33813.1756,290997.2651,726891.4,9.29,4.29,6.79,6.75,-13.29,-3.26,3,100.88,8,0.1,154.49,259.8,1256.5,1574.35,0,0,0
Cephalophus nigrifrons,2,14676.33,134.3988,944.21,2.3026,832.0062,5558.2755,25366.67,4,436.284,199.0275,1,7.3844,16.7848,344.7654,1.1233,1.1855,236.4,1077.7807,360.7757,2,134.911,628.6393,2.6905,4,122.4573,7668.9269,306.2216,45324.9827,1.1492,41530.4903,374390.4631,2766201.07,5.12,-9.85,-2.36,37.79,8.69,23.24,0,27.94,1,0.13,140.38,238.38,1348.71,1548.31,0,0,0
Cephalophus ogilbyi,3,18386.42,161.1966,1000,7.3509,1024.7889,4768.8322,18030.8975,2.91,668.5393,121.66,1.21,0.07,0.08,384.4909,1,1.1012,249.884,657.8113,318.2643,55.9979,29.3365,858.5724,15.0435,4,165.7514,3411.8052,320.2984,6524.4262,1.0778,99608.4419,376273.0936,231511.16,7.15,-3.46,1.84,12.62,5.99,9.31,1,104.03,1,0.09,190.65,251.54,1242.62,1549.15,0,0,0
Cephalophus rufilatus,3,12114.57,118.568,650,3.6059,794.63,2821.1922,12789.1552,5,312.738,233.99,1,6.9071155,6.9494,294.205,1,1.2911,114,975.1,260.5311,3.18,76.8717,510.1616,1,4,85.59,3614.0521,298.0845,26057.3814,1.2076,54908.9938,383397.4719,3098970.49,16.1,2.73,9.41,31.61,-17.53,7.03,0,46.79,1,0.11,108.89,259.92,973.28,1601.7,0,0,0
Cephalophus silvicultor,2,62006.6,112.6434,1324.76,3.3631,773.0964,9491.4749,45249.2331,5,356.4369,234.43,1,11.2094,15.2303,306,1,1.3355,207.96,4400.72,456.4929,0.5,199.7645,558.9528,1,4,34.9,11476.4544,390.7848,27876.4256,1.2,16686.5724,375655.8051,6018051.89,13.58,-17.38,-1.89,37.39,-16.79,10.29,0,36.82,1,0.13,132.7,240.01,1197.42,1541.12,0,0,0
Cephalophus spadix,1,56857.02,102.0378,1174.48,10.4059,568.4028,6801.1245,37766.2666,3,222.014,162.6288,1,38.7427762,46.1017,240.0524,1.468,1.602,65.04,2323.9422,341.3788,511.2203,1817.4485,452.9124,4.0945,4,104.9857,7966.8639,306.0497,1062.7033,1.3753,4929.9675,113662.894,36583.37,-2.6,-9.48,-6.04,38.83,33.33,36.08,8,49.38,11,0.16,77.3,222.71,950.45,1534.15,0,0,1
Cephalophus weynsi,1.09,552.6727,99.5722,249.1704,12.4241,457.9894,253.0521,457.9905,2.31,204.7416,117.5036,1.09,0.0531243,0.0403474,247.4748,1.3904,1.3185,183,31.056,97.6791,365.9769,62.4529,384.5502,1.463,4.53,77.368,153.7728,212.0557,539.3424,1.3627,4550.7441,300029.6476,1692834.41,5.14,-6.81,-0.83,37.26,16.17,26.72,0,42.21,3,0.16,134.53,234.61,1411.19,1589.32,0,0,0
Cephalophus zebra,1.58,15654.75,95.9374,874.99,8.9776,555.934,4138.5536,23023.2216,3,336.3551,223.89,1,26.686375,52.4109,197.2845,1,2.0397,146.04,1704.99,281.026,589.463,1133.633,410.3348,2.9755,4,13.64,4984.4772,270.4065,511.7924,1.483,24877.5717,216706.9113,171546.51,8.55,4.35,6.45,-5.5,-11.79,-8.64,3,37.94,5,0.03,214.55,247.86,1342.39,1540.94,0,0,0
Cephalorhynchus commersonii,1.77,72400,130.0795,1739.8554,0.9842,1427.6354,23369.357,94723.4467,1,690.0223,287.6801,1,46.4453166,32.4667,430.0271,0.98,0.9462,216,5834.74,852.11,7.1085,721.365,2207.29,12.8115,2.42,293.0676,21281.0907,831.9651,190308.0887,1.0254,87694.5389,495106.4468,789392.1017,10.5722,2.7927,6.5037,31.3129,13.5910222,20.8238,5.02,96.3619,13.855,0.1183,131.947,236.3585,1218.9686,1559.6515,0,0,0
Cephalorhynchus eutropia,1.61,45000,104.3842,1345.0733,1.7244,846.7486,13837.9211,60741.205,1,442.4996,216.2858,1,49.1598264,40.1211,359.037,0.97,1.2166,208.7792,4344.2578,478.8113,513.3159,927.904,795.1369,14.55,4.07,190.692,14601.1379,403.4279,25948.8019,1.1259,58864.6719,364393.704,434946.9117,9.2916,0.1695,3.4167,28.2474,10.3311611,18.8552,7.13,88.5351,13.33,0.117,130.2244,237.5278,1227.0224,1570.7369,0,0,0
Cephalorhynchus heavisidii,2.72,39999.99,118.7726,1323.8479,5.706,854.0949,11353.6957,54935.3387,1.77,297.1927,205.7435,1,22.1072,17.2888,349.6348,0.97,1.1709,196.8012,9174.84,459.0372,107.5942,90.595,724.433,11.214,3.99,137.7889,14367.4932,400.2284,5754.4749,1.1179,55057.2039,350954.5449,274936.2676,6.6202,0.3601,2.845,29.8182,20.291,24.3837,10.02,88.7398,15.38,0.1335,129.3045,227.2181,1310.8689,1573.2403,0,0,0
Cephalorhynchus hectori,3,49999.99,138.0653,4037.5375,2.3146,2920,48408.4051,281866.5657,1,1168.0407,360.5303,1,4088.5688,6549.9056,869.4412,1,0.42,240,47110.1161,1505.0127,9.0833892,11,2768.53,5,2.28,355.65,658161.9496,3742.5811,464177.0955,0.6645,506782.9845,705305.4339,880634.1934,11.3108,0.3497,5.9108,35.7917,21.2614,31.5405,37.99,212.3545,40.57,0.1166489,125.5792,220.8403,1171.847,1512.3246,0,0,1
Ceratotherium simum,2,2285939.43,141.8517,2586.81,5.0021,2463.75,39542.5591,237500.8788,1,902.99,534.19,1,19.09,19,967.25,1,0.5749,600,48500,1160.1484,0.47,3.75,2741.23,18.743,2.92,365,274482.35,2296.4944,384259.8998,0.67,363830.4626,622281.7305,3184467.13,9.74,-29.91,-10.08,39.53,12.96,26.25,0,18.23,0,0.11,60.61,216.38,729.59,1458.59,0,0,0
Cercartetus caudatus,1,23.05,67.2126,97.97,49.5,465,104.9385,183.5297,3,158.9661,40.3192,3,0.060783792,0.08591789,183,2.37,2,38.4,10.099797,42.0873,49.99,622.303,464.04,3,4,76.04,8.97,110.1218,675.1165,1.6447,19.1618,410.7694,221311.97,-1.09,-18.08,-9.58,150.93,133.77,142.35,0,8.67,0,0.13,233.35,203.07,1518.15,1688.53,0,0,0
Cercartetus concinnus,1,15.96,44.0456,82.413,36.8568,410.62,22.32,18.6,1.74,125.5825,52.14,2,0.106241904,0.072345154,122,4.6,1,63.5385,0.01,26.9528,2084.2805,10968.444,302.8255,2.9266,6,49.99,7.5405,81.3855,52.3104,1.9886,3.5115,123.0099,611282.88,-29.99,-37.65,-33.82,142.31,114.97,128.64,0,5.63,0,0.03,34.84,162.41,363.02,1088.35,0,0,0
Cercartetus lepidus,1,8.03,70.7685,151.8543,32.1288,429.1726,18.77,12.6,2,174.6338,45.4696,2,16.17751213,16.37494729,365,3.33,1.1805,83.4658,18.48387167,50.3819,2924.8208,21790.6025,381.9781,8.2495,4,89.99,186.0196,158.8271,1833.484,1.1,11191.8733,128194.0988,93697.61,-34.31,-43.64,-38.97,148.35,136.53,142.44,0,4.17,0,-0.06,49.34,130.35,474.06,888.43,0,0,0
Cercartetus nanus,1,26.85,68.1019,123.6078,37.4248,152.08,55.9,65,4,157.2454,34.2278,2,0.00556,0.00522,139.25,3.96,2,96,0.01,32.243,788.66,6052.831,193.8,4.0687,4,62.5,5.91,101.3666,167.9664,2.1041,5.899,101.1889,378748.79,-26.49,-43.64,-35.06,153.63,139.66,146.65,0,35.3,1,0.04,70.94,131.85,657.19,1010.73,0,0,0
Cercocebus agilis,3,7105.62,155.5795,528.2449,2.5955,964.0276,1790.668,6699.0556,2.83,586.3882,165.4281,1.02,0.8713,1.4572702,369.732,1.0838,1.0416,249.9204,316.4325,216.9114,14.7902,28.698,857.6369,10.6915,3,138.8947,1506.4793,352.8681,48226.2056,1.0932,100668.7859,421222.1967,1068616.42,8.86,-1.04,3.9,31.17,11.11,21.14,0,13.6,1,0.08,138.41,240.74,1380.55,1583.74,0,0,0
Cercocebus atys,3,6941.24,153.9612,520.0365,4.8198,1454.738,3407.7469,15764.047,2.51,802.0518,165.08,1.17,28.988243,14.4152953,394.2,1.01,1.0163,321.6,527.17,338.7463,8.85,47.7375,1321.67,35,3.13,259.2736,2169.3305,523.4436,27891.366,1.05,154210.6937,396106.6749,440620.58,11.49,4.35,7.92,0.66,-15.07,-7.2,3,78.72,10,0.08,186.09,255.64,1275.43,1555.33,0,0,0
Cercocebus chrysogaster,2.93,3824.2532,148.3367,517.9153,8.0034,812.6545,1243.8095,3584.3568,3.2,373.489,149.1282,1.06,0.4269951,0.5313092,347.5013,1.1585,1.1062,169.8549,271.5775,159.473,35.2161,45.389,626.3245,2.4395,4.05,126.9797,896.7326,278.6052,6431.3166,1.1279,59461.4765,230159.9669,564761.67,1.6,-7,-2.7,26.36,16.18,21.27,2,15.17,3,0.18,151.44,248.59,1455.49,1580.15,0,0,1
Cercocebus galeritus,3,7077.66,165.1519,510,8.862,2372.5,15063.1178,66431.1531,2,1007.8936,174.43,2,0.51,15.2208,823.3706,1.01,0.6448,252,3315.3911,789.2185,70.11,26,2735.94,20.35,2.3,472.0124,15003.563,1097.8929,211193.5253,0.7391,213453.2239,337042.1371,20246.09,-0.92,-3.29,-2.1,40.61,39.49,40.05,1,13.99,1,0.17,53.99,273.78,848.67,1747.56,0,0,1
Cercocebus sanjei,1.26,721.6821,98.5607,273.3464,12.6473,413.6207,320.4298,641.704,2.26,170.8985,88.369,1.12,0.05643503,0.03946445,245.0271,1.9177,1.4185,103.7248,23.8761,89.5591,370.0314,35.3074,365.7615,1.119,4.67,56.876,176.8416,220.765,338.8554,1.3978,4545.9869,113559.1404,59607.49,-7.32,-9.94,-8.63,37.88,35.24,36.56,2,15.78,2,0.17,71.58,240.57,911.27,1427.1,0,0,1
Cercocebus torquatus,3,7293.07,152.528,660,4.0194,1704.55,2977.6529,11601.332,1,833.3828,168.98,1.24,3.3037,3.4314875,434.35,1.01,0.9942,360,443.4421,350.8506,40.15,21.1,1318.86,26.85,2.46,262.7277,1615.7921,505.8773,46837.0382,1,107183.9404,442536.2799,362869.59,10.99,-2.58,4.2,11.42,-15.07,-1.82,1,126.14,1,0.12,175.62,252.43,1238.34,1560.84,0,0,1
Cercopithecus albogularis,3,6816.0478,165.5026,554.6997,12.2804,1017.4136,2188.6386,7805.8393,4,635.8061,154.2203,1.15,0.13,10.5626298,371.9541,1.02,1.033,235.6371,392.0572,209.9192,47.2165,38.0325,828.6288,32.5,3.76,173.788,1627.1571,395.4865,4891.9099,1.0833,104116.7313,323307.704,1057710.32,7.78,-33,-12.6,46.05,25.97,36.01,1,48.46,3,0.15,71.4,227.02,881.09,1537.26,0,0,0
Cercopithecus ascanius,3,3540.24,170.9312,444.99,5.7367,1825,9569.7842,47114.3115,4,1751.8631,148.5,1.45,0.16,0.26,1580.45,1.01,0.7109,339.6,371,427.0833,105.79,34,1718.73,26.3,2.51,146.54,3086.0762,1412.2306,171811.5654,0.52,274671.1835,755405.8744,3012180.23,6.79,-12.21,-2.71,35.34,12.27,23.8,0,30.04,1,0.15,131.01,236.61,1302.52,1551.84,0,0,0
Cercopithecus campbelli,3,3627.73,166.0989,455,8.8862,1715.773,2759.8504,13947.6297,3,818.5982,180.8,1.37,0.01,0.03,494.0863,1.02,1.0001,396,386.5561,359.8416,119.9228,47.5205,1668.0989,11,2.69,362.93,1394.7964,504.1816,31807.807,0.9647,154071.8125,354150.2268,262404.57,12.7,4.35,8.53,-7.51,-16.79,-12.15,3,54.66,8,0.01,226.67,252.98,1144.22,1505.23,0,0,0
Cercopithecus cephus,3,3444.88,177.4414,520,6.2568,1825,2883.4156,8280.1242,3,786.4628,169.51,1,0.24,0.35,479.9783,1.01,0.961,276,337.19,296.1044,21.04,8,1521.9,11,2.64,362.93,1622.015,507.479,58938.9191,0.9494,133776.4466,389570.1959,898367.43,5.2,-6.05,-0.42,18.64,8.69,13.66,0,18.25,1,0.08,149.87,244.48,1299.85,1499.82,0,0,0
Cercopithecus denti,3,108925.5312,140.9238,1584.9991,1.6641,978.9009,20892.1312,83555.3726,2.47,626.1703,239.963,1.04,6.0898264,7.3454,374.6576,1.02,1.0697,255.4844,5236.5327,622.2246,4.3749705,130.996,784.4527,17.7923,3.83,171.926,22566.3101,628.9848,46877.2483,1.089,107687.5052,452648.4957,402606.02,4.16,-3.05,0.55,31.11,22.91,27.01,1,34.34,2,0.15,140.12,230.71,1469.44,1608.92,0,0,0
Cercopithecus diana,3,4358.91,149.5416,470,4.6854,1961.87,3838.3939,21707.8353,3,727.7023,173.3664,1.35,1.25,1.89,365,1.01,0.9415,447.6,466.9,460.4289,16.47,24,2279.95,24.95,2.57,362.93,2129.3673,673.432,110006.2968,1.1,129492.4905,382467.8757,177249.87,8.95,4.35,6.65,-6.17,-12.73,-9.45,3,37.3,5,0.00407,237.57,248.13,1328.4,1541.71,0,0,1
Cercopithecus doggetti,1.44,1903.6137,115.0026,437.5008,12.7094,603.8278,738.9062,2086.3909,3.33,250.0029,100.4683,1.24,0.3001086,0.2766945,268.9046,1.8254,1.489,145.6173,81.5525,131.5349,159.1027,39.2724,521.6926,1.8155,4.25,73.8416,592.7804,523.3886,939.018,1.3072,2179.8282,248045.5393,53746.06,-0.57,-4.02,-2.3,31.8,28.84,30.32,28,167.03,38,0.06,93.38,188,1247.45,1478.72,0,0,0
Cercopithecus dryas,3,2784.06,157.1826,446.6715,8.5463,876.0516,916.7592,2654.2692,2.81,418.9599,145.6044,1.06,0.1864092,0.2739026,367.1886,1.02,1.058,212.4204,160.8946,176.7473,35.3093,30.953,764.8252,3.1135,4.08,136.3171,594.4409,272.9715,6739.4598,1.1095,59457.0577,230062.3298,151925.19,0.95,-4.14,-1.59,24.52,21.18,22.85,2,8.19,2,0.14,161.66,248.93,1555.64,1610.36,0,0,1
Cercopithecus erythrogaster,3,3444.88,143.5466,457.49,8.7409,1356.5991,3967.2427,30474.5336,2,773.3973,176.841,1,2.2914,4.5991,426.602,1.02,1.0669,306.2469,623.388,292.0004,116.747,51.025,1052.2892,24.641,3.83,212.7674,1912.0851,565.4807,4949.9339,1.0073,185321.3795,538420.8773,102343.83,7.66,4.45,6.06,6.75,1.55,4.15,24,260.97,55,0.15,137,263.19,1203.57,1586.83,0,0,1
Cercopithecus erythrotis,3,3254.98,148.8165,435,7.3848,953.0469,1069.2256,3322.4867,2,437.2903,152.3648,1,0.4246652,0.4696953,367.26,1.02,1.055,243.2656,157.0661,176.4555,39.5245,48.5875,818.9917,9.076,3.93,134.5047,916.905,279.1064,7254.9306,1.1012,97468.0884,349854.7894,87403.19,6.74,3.2,4.97,11.42,7.92,9.67,7,94.55,10,0.1,214.26,240.93,1236.12,1533.98,0,0,0
Cercopithecus hamlyni,3,7780.0367,151.3901,575.5826,8.0363,937.5615,1866.9308,6737.8184,2.66,534.6528,162.7985,1.08,3.8284792,2.3651953,361.8843,1.0563,1.0476,239.564,456.1704,193.3449,90.9724,62.4115,807.4349,15.6327,4.13,158.1271,1241.7486,337.7451,5259.192,1.1002,77404.8005,375964.8239,328372.58,2.5,-6.02,-1.75,30.03,25.05,27.54,1,37.94,2,0.17,126.88,226.21,1442.29,1596.11,0,0,0
Cercopithecus kandti,1.33,178.9233,67.6864,187.3233,9.2159,556.1014,8642.1764,52812.6952,2.37,350.5158,116.4961,1.41,10.0447485,25.58722383,234.5705,2.27,1.6544,113.7808,1663.0119,141.3489,2588.8927,98.494,453.6834,5.348,4.51,84.855,4986.5278,605.0784,135.1921,1.4633,94220.5624,394056.1806,18131.24,-1.33,-2.98,-2.16,29.77,28.67,29.22,133,224.9,133,-0.00511,107.83,173.49,1305.93,1481.23,0,0,0
Cercopithecus lhoesti,3,5307.47,164.2483,510,5.0478,1656.5946,2862.6091,11244.96,3,798.4659,171.1579,1.27,1.6296,1.5626,485.45,1,0.9724,192,646.8602,277.8079,4.99,51.268,1565.7079,17.4,2.39,327.8368,2492.4541,532.5467,64775.6647,0.95,118231.021,517831.5569,451166.22,3.74,-6.02,-1.13,31.05,25.05,28.05,1,48.91,2,0.15,127.13,225.56,1418.46,1597.58,0,0,0
Cercopithecus lowei,2.86,4793.1672,146.5862,513.7223,9.1012,845.4802,1379.2629,4201.1364,3.01,401.3844,145.8525,1.07,0.2711,0.6107656,366.3416,1.2448,1.0992,201.4455,306.9938,174.4264,39.5899,25.865,655.385,5.271,4.1,129.5893,974.0137,275.2431,7537.4218,1.1327,73138.1196,230567.3723,271410.7,8.23,4.37,6.3,0.3,-8.4,-4.04,4,85.71,19,0.17,127.52,261.04,1329.06,1602.38,0,0,0
Cercopithecus mitis,3,5041.29,171.859,575,5.8203,2087.8,3455.75,8650,4,751.3396,138.39,1.44,0.1,0.16,565.75,1,0.9288,325.2,402,415.3855,70.39,50.157,2049.25,16,2.35,688.08,1574.7535,650.5155,62134.8819,0.88,110230.3272,534353.1003,2341818.13,12,-15.82,-1.9,37.98,12.99,25.48,0,38.24,3,0.15,109.08,221.49,1116.18,1528.47,0,0,0
Cercopithecus mona,3,3980.17,153.3028,510,1.6156,1258.9461,1990.3545,7833.4815,2.66,660.9893,165.9493,1.13,0.9807,1.5360953,375.6684,1,1.0401,360,280.49,222.2651,21.1003,53.102,1096.4546,21.802,3.58,167.8271,1125.1294,397.7135,49322.8351,1.0651,154585.9705,377080.6142,652362.31,10.08,3.58,6.83,13.4,-0.94,6.22,6,120.6,7,0.13,135.42,256.97,1141.88,1580.2,0,0,0
Cercopithecus neglectus,3,5324.52,176.0549,510,5.9426,1704.55,3702.9316,19911.5124,3,795.5891,172.07,2,0.06,0.08,584,1.02,0.8703,315.6,259.95,385.5958,29.03,19.196,2076.39,4.5,2.31,417.62,1571.06,604.5682,79667.3032,0.86,113877.6745,397007.1709,2963266.5,8.48,-10.71,-1.11,36.62,9.31,22.96,0,18.75,1,0.11,138.29,241.12,1329.51,1559.68,0,0,0
Cercopithecus nictitans,3,5256.91,167.4025,549.99,4.9618,1744.0336,2543.0835,8700.295,4,842.7626,169.51,1,1.15,1.74,469.2389,1,0.9947,276,403.83,296.5142,22.5,13.9,1684.59,16,2.4,297.6369,3160.1723,533.0522,80771.5428,0.9593,133777.3887,519423.1767,2185668.95,9.44,-6.05,1.69,27.38,-11.45,7.96,0,44.49,1,0.09,148.27,246.96,1267.15,1553.94,0,0,0
Cercopithecus petaurista,3,3233.67,153.7451,410,8.0264,953.9559,1229.9911,3570.8241,2.54,491.6593,158.2719,1.03,2.7619528,1.3985,361.1333,1.02,1.095,228,233.7832,181.0378,25.95,22.936,816.2298,14,4.08,151.8578,784.0685,290.2567,24261.8414,1.1109,122048.0482,363280.3081,619437.28,13.52,4.35,8.93,1.8,-16.82,-7.5,3,73.6,10,0.09,167.77,258.85,1205.31,1560.01,0,0,0
Cercopithecus pogonias,3,3578.27,168.475,459.99,5.4137,1825,2644.5127,8518.157,3,809.7837,169.51,1,1.15,1.74,481.8508,1.01,0.9839,289.2,337.19,304.5879,19.04,13,1684.59,15,2.4,326.3606,3060.736,468.1481,83525.3128,0.9464,134003.5666,519716.3841,1592652.96,9.13,-6.05,1.53,24.14,7.92,16.03,0,19.87,1,0.09,146.05,245.26,1269.59,1538.71,0,0,0
Cercopithecus preussi,3,5132.57,140.0457,545,8.2385,941.3719,1601.0539,5393.8264,4,515.777,167.842,1.14,1.9531,1.5052,362.9347,1.02,1.04,263.3604,333.3338,184.2497,43.4381,33.304,862.2759,3,4.09,155.1577,1193.1191,279.5886,7181.3653,1.1115,69054.2059,230876.7741,60552.81,6.42,3.14,4.78,10.48,7.86,9.17,9,121.4,10,0.1,234.82,245.41,1255.21,1565.51,0,0,0
Cercopithecus roloway,1.71,124224.8888,112.7336,1665.4855,6.5053,834.7834,25024.7532,100096.451,3.15,297.9372,243.6242,1.07,20.9893,38.3618,358.127,1.1491,1.2613,229.9219,6772.5348,589.7718,118.7685705,367.038,812.0096,11.6939,3.96,177.4106,21830.8391,632.6981,5272.4673,1.1418,46056.7421,339521.6004,136280.67,7.2,4.73,5.97,-0.68,-7.03,-3.86,20,102.3,26,0.16,124.7,262.42,1356.62,1586.28,0,0,1
Cercopithecus sclateri,3,3067.29,136.0225,1464.5145,8.9962,1623.8969,21526.1354,109929.1038,2.79,1170.6788,198.5838,1.35,15.4248166,850.4667,489.6509,1.02,1.0771,341.7105,6137.9736,985.8948,212.0226705,121.994,1141.6146,27.7655,4.18,220.8907,14454.2923,1572.1755,42483.3087,0.9514,283186.9018,623886.1289,30025.23,6.44,4.37,5.4,8.32,6.69,7.5,85,376.17,85,0.14,193.22,260.33,1260.96,1563.28,0,0,1
Cercopithecus solatus,3,5256.91,159.2474,595.5805,4.5883,1733.75,3429.1481,16483.4322,3.23,808.5843,167.2039,1.31,4.21,2.8689,547.5,1.01,0.928,341.8116,406.1501,292.7869,24.8749,77.793,1650.2421,10,2.58,318.004,1890.2493,538.8836,71973.6646,0.89,129720.355,354332.1233,14715.81,-0.03,-1.58,-0.8,12.55,11.29,11.92,1,1.58,1,0,173.49,248.16,1278.58,1502.74,0,0,0
Cercopithecus wolfi,3,3255.18,158.9013,480,2.1337,865.1622,1401.3137,4202.2288,2.99,414.1928,162.1817,1.06,0.4092504,0.5115263,364.4735,1.02,1.067,200.1545,435,186.7929,17.9812,49.6555,676.7576,2.803,4.02,127.3007,903.5089,280.5361,45694.8652,1.1252,60521.5394,314017.4183,1419828.69,4.01,-7.77,-1.87,31.71,15.86,23.78,1,21.35,3,0.16,141.83,239.75,1430.74,1591.77,0,0,0
