Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Microgale fotsifotsy,1.29,7.7,44.4281,72.45,15.9051,367.3482,28.5115,18.1369,1.13,119.7201,67.8798,1.52,0.033397643,0.015408116,173.1065,2.4227,1.7821,57.199,2.378043,30.2168,1753.2554,345.1905,308.249,1.165,5.4,45.5301,12.8696,75.9675,17.6408,2.0932,9.5593,205.7506,97995.01,-13.52,-25.18,-19.35,50.46,46.65,48.56,6,37.17,8,0.18,180.28,197.99,1354.56,1605.33,0,0,0
Microgale gracilis,1.35,23.3,55.9355,101.0718,13.2475,400.9582,46.56,101.266,1.41,150.6092,93.6399,1,0.135819026,0.07028171,269.2438,1.3493,1.0757,93.9564,5.2241,40.0648,2248.406,108.344,355.6551,1.243,4.69,56.4928,33.0769,88.5423,28.6581,1.8667,11.073,231.829,9350.81,-20.88,-22.81,-21.84,47.58,46.81,47.2,8,43.97,8,0.18,167.57,188.02,1326.39,1512.8,0,0,0
Microgale gymnorhyncha,1.29,18.2,49.3539,87.4705,13.3007,395.4519,36.3729,30.488,1.12,153.9204,93.4842,1.01,0.1214077,0.036173102,272.9327,1.1759,1.0952,96.8744,3.9245,33.1266,1723.3173,264.9182,346.848,1.23,4.65,57.054,20.506,79.3977,20.4689,1.9171,12.0833,224.6317,79719.29,-14.07,-23.01,-18.54,50.46,46.7,48.58,8,43.14,11,0.18,184.92,196.78,1359.06,1596.96,0,0,0
Microgale longicaudata,1,8.08,50.4156,86.9902,16.9716,375.5042,36.9993,29.0107,1,125.1721,55.5219,2,0.050721864,0.02736129,241.1892,2.6437,1.4529,63.486,3.359686,35.0223,1230.0381,1,358.9228,1.265,5.62,47.1569,20.9799,103.2487,56.5604,1.9239,4532.4982,64275.2056,78758.03,-12.36,-23,-17.68,50.43,46.71,48.57,8,38.53,11,0.17,178.07,198.87,1358.09,1590.94,0,0,0
Microgale monticola,1.37,13.9,51.6664,95.3774,18.8905,397.3683,70.8085,113.9297,1.41,112.9984,60.5464,1.27,0.12056178,0.067513,257.2173,2.4216,1.205,85.9188,5.150093,36.3639,1543.0674,5098.9494,329.5927,1.275,4.82,56.3175,20.6902,83.3401,27.1404,1.8676,10.6167,219.0606,2571.38,-14.29,-14.89,-14.59,49.88,49.3,49.59,11,25.24,11,0.15,139.24,178.24,1375.45,1703.99,0,0,0
Microgale nasoloi,1.36,188.1524,80.3422,173.1608,18.3438,384.8126,137.6655,218.1575,2.21,113.9665,54.2629,1.45,0.10926084,0.04570785,281.0336,2.69,1.248,81.91,13.8066,59.3616,1634.3423,82.3759,346.9187,1.3675,4.9,56.9758,92.4356,143.7555,151.8828,1.3375,4534.4774,126.5846,2483.33,-22.36,-22.89,-22.63,44.96,44.09,44.53,5,7.49,5,0.2,57.75,229.25,710.78,1544.26,0,0,0
Microgale parvula,1.5,3.53,38.6805,56.8,16.1731,387.5289,26.6333,16.5404,1.52,120.6371,67.1183,2,0.045645284,0.026582462,197.3406,2.4446,1.6463,69.8454,2.047497,28.0436,2130.6068,461.6805,334.6796,5.545,5.26,46.2196,10.2181,73.7282,19.6662,2.0619,9045.4104,64144.4221,109243.49,-12.29,-25.06,-18.67,50.45,46.53,48.49,6,37.93,8,0.18,170.29,200.01,1327.95,1601.02,0,0,0
Microgale principula,1.29,10.2,46.0609,72.0784,17.41,385.5367,32.2637,18.7807,1.12,111.474,64.6305,1.42,0.044788723,0.020675902,211.5543,2.3804,1.4804,70.936,2.494186,30.548,1653.9102,433.2155,319.1908,1.115,5.35,47.9689,12.5593,75.9404,17.7689,2.0235,11.9561,1271.9242,96125.86,-13.7,-25.2,-19.45,50.47,46.51,48.49,6,34.89,8,0.18,177.02,197.75,1355.63,1608.89,0,0,0
Microgale pusilla,1.44,3.4,38.4826,52,16.6739,372.7804,31.4971,17.033,1.6,120.0319,63.9774,2,0.165411244,0.119482044,189.7024,2.6888,1.814,67.6841,2.416643,28.0596,2238.9277,552.184,292.6542,5.48,5.41,49.9622,23.5877,79.7522,20.2592,2.0921,9042.0792,64149.5514,61204.09,-17.36,-24.3,-20.83,49.21,43.88,46.55,6,54.32,9,0.18,162.43,202.05,1196.18,1575.59,0,0,0
Microgale soricoides,1.28,18.7,50.2733,91.0103,13.3996,398.3008,38.5798,32.414,1.17,153.2841,93.0369,1.04,0.12142984,0.061830232,274.8132,1.2533,1.0852,99.0164,4.2554,33.5302,1713.5795,165.7967,346.7561,1.23,4.7,55.8133,20.7691,80.9842,21.1567,1.9281,11.5213,225.7787,56884.74,-14.07,-22.91,-18.49,50.05,46.82,48.44,8,36.8,11,0.18,177.21,192.33,1341.31,1575.42,0,0,0
Microgale taiva,1.28,12.4,47.4918,82.8449,12.8061,391.9452,34.2263,27.1552,1.12,144.4123,89.9929,1.02,0.150219786,0.07624651,272.5263,1.3489,1.1202,92.252,4.1075,34.7571,2046.107,353.1205,352.5827,1.245,4.78,56.3358,28.0708,81.5101,21.7719,1.933,10.9422,228.15,14300.46,-20.54,-23.08,-21.81,47.89,46.77,47.33,8,46.64,8,0.17,177.7,197.09,1339.27,1498.65,0,0,0
Microgale talazaci,1.34,43.07,61.8958,150,17.8333,425.83,43.56,44,1,124.234,60.74,2,0.052765988,0.044943884,171.7814,2.23,1.6578,70,3.64,42.439,1493.0023,2,394.57,1.428,5.07,29.38,21.6828,93.5077,66.2431,2.0988,4528.6202,211.0833,96252.65,-12.45,-22.93,-17.69,50.39,46.74,48.57,8,42.85,10,0.18,169.39,200.78,1324.6,1585.95,0,0,0
Microgale thomasi,1.23,22.9,56.88,102.2449,13.2661,401.6781,48.944,44.7099,1.41,153.6229,95.3848,1,0.148331926,0.07192541,281.8953,1.3277,1.1152,88.6404,5.0374,38.6735,1857.5582,106.6552,352.4826,1.1905,4.71,56.7898,31.3029,83.5702,31.6487,1.9279,11.2248,229.1429,14411.05,-20.76,-23.1,-21.93,48,46.67,47.33,8,42.83,8,0.17,183,195.84,1359.73,1528.12,0,0,0
